Date,Component,Affiliate Name,Class Name,Result,Is Personal Record,Personal Record Description,Performance Result Type,Comment,From Weightlifting Total
02/26/2020,Front Squat,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 190 lbs,1,PR by 5 lbs vs. 185 on 10/23/2019,Weight,,0
02/19/2020,Weighted Pull-ups,Fitness Battalion,CrossFit: 18:30,1 x 5 @ 0 lbs,0,,Weight,no weight,0
02/07/2020,Bottom-Full-Top-Press,Fitness Battalion,CrossFit: 6:30,10 x 1 @ 70 lbs,0,,Weight,,0
02/05/2020,Shoulder Press,Fitness Battalion,CrossFit: 18:30,1 x 1 @ 95 lbs,0,,Weight,,0
01/30/2020,Bear Complex,Fitness Battalion,CrossFit Coaches Class,1 x 1 @ 145 lbs,1,PR by 10 lbs vs. 135 on 09/27/2019,Weight,,0
01/24/2020,Hang Clean,Fitness Battalion,CrossFit: 12:00,1 x 5 @ 140 lbs,1,PR by 10 lbs vs. 130 on 05/14/2019,Weight,"85,105,125,135,140",0
01/22/2020,Floor Press,Fitness Battalion,CrossFit: 17:30,10 x 3 @ 85 lbs,0,,Weight,,0
01/20/2020,Floor Press,Fitness Battalion,CrossFit: 12:00,1 x 1 @ 112 lbs,0,,Weight,,0
01/17/2020,Snatch Pull Complex,Fitness Battalion,CrossFit: 6:30,10 x 1 @ 105 lbs,0,,Weight,,0
01/15/2020,Snatch,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 142 lbs,1,PR by 7 lbs vs. 135 on 09/11/2019,Weight,,0
01/07/2020,Clean and Jerk,Fitness Battalion,CrossFit Coaches Class,1 x 1 @ 175 lbs,1,PR by 5 lbs vs. 170 on 10/30/2019,Weight,,0
01/02/2020,Clean Complex 2,Fitness Battalion,CrossFit: 6:30,10 x 1 @ 125 lbs,1,PR by 25 lbs vs. 100 on 10/19/2018,Weight,,0
12/26/2019,Clean to Front Squat,Fitness Battalion,CrossFit: 6:30,10 x 1 @ 125 lbs,0,,Weight,,0
12/11/2019,Deadlift,Fitness Battalion,CrossFit: 17:30,1 x 1 @ 235 lbs,1,PR by 10 lbs vs. 225 on 04/01/2019,Weight,,0
12/04/2019,Shoulder Press,Fitness Battalion,CrossFit: 18:30,1 x 1 @ 92 lbs,0,,Weight,,0
11/26/2019,Back Squat,Fitness Battalion,CrossFit Coaches Class,1 x 1 @ 225 lbs,1,PR by 10 lbs vs. 215 on 07/23/2019,Weight,,0
11/20/2019,Floor Press,Fitness Battalion,CrossFit: 18:30,1 x 1 @ 115 lbs,1,PR by 7 lbs vs. 108 on 07/15/2019,Weight,,0
